"lon","lat","agg_id","income","pop","Y"
139.958705,35.662154,33,663.5,5577,310.73
139.874168,35.506593,6,368.4,1227,161.67
139.589068,35.758466,2,472.6,3699,6.14
139.548159,35.880672,25,458.3,1022,18.55
139.778442,35.659133,26,563.9,2157,139.72
139.967621,35.487264,17,692.9,1777,279.81
139.940117,35.68127,33,561.7,3751,310.73
139.990338,35.779629,11,665.9,1142,154.59
139.602097,35.733486,2,591.6,3075,6.14
140.066832,35.512436,37,425,3676,179.13
139.676174,35.572925,28,509.8,3609,43.34
139.589443,35.559916,35,665.1,2123,38.21
139.931627,35.852449,36,312.6,1659,174.9
139.694452,35.499599,27,539,4584,54.56
139.967286,35.740482,33,481.2,1872,310.73
139.736665,35.468759,20,605.3,3850,63.78
139.907156,35.453497,32,590,5550,367.73
139.965495,35.44643,24,536.1,1876,200.92
139.612721,35.858224,19,679.1,5125,17.18
139.517451,35.53853,31,316.9,2406,42.83
139.581428,35.842897,25,609.3,1780,18.55
139.908099,35.786432,23,310.5,3499,171.29
140.060894,35.797526,7,570.5,1757,252.6
139.830296,35.502837,6,510.8,1966,161.67
139.86106,35.424097,32,616.1,5779,367.73
139.618197,35.419408,10,509.5,1804,21.9
139.821142,35.542287,4,311.8,5854,108.72
139.607733,35.574405,35,259.1,5640,38.21
139.771132,35.768727,3,564.9,1936,54.93
139.690232,35.525832,27,491.2,2668,54.56
139.569705,35.658719,9,431.5,1301,5.78
139.611661,35.779722,2,462.7,5310,6.14
139.937838,35.718042,33,419.4,5977,310.73
139.747123,35.50197,20,481.1,3775,63.78
139.74843,35.896523,8,388.2,3872,65.05
139.788186,35.400203,18,262,4442,182.81
139.756497,35.503285,20,473.6,3785,63.78
139.581894,35.717014,9,625.4,1649,5.78
139.994808,35.408646,24,725.3,3558,200.92
139.855383,35.413368,32,500.3,3396,367.73
139.976638,35.70392,33,490.3,5584,310.73
139.961419,35.685271,33,615.6,3153,310.73
140.050834,35.522927,37,506.4,3005,179.13
140.017578,35.859763,36,447.8,1201,174.9
139.690185,35.736108,21,291.5,5624,16.65
139.655556,35.722725,2,348.4,2428,6.14
139.94536,35.504143,17,548.8,2946,279.81
139.948417,35.640309,40,324.8,2853,136.52
140.050742,35.893259,7,625.8,4405,252.6
139.975915,35.89656,36,338.4,3879,174.9
139.579998,35.625387,13,476.8,1584,10.84
139.67265,35.757424,21,499.7,2581,16.65
139.616806,35.558281,35,498.5,3752,38.21
139.970466,35.816844,11,518.2,4752,154.59
139.577323,35.616988,13,571.8,5402,10.84
139.577454,35.897996,25,484.9,4641,18.55
139.543352,35.802906,12,470.2,3063,7.7
139.531878,35.643121,14,519.2,906,7.68
139.819125,35.669386,26,448,5481,139.72
139.567385,35.57052,35,684.5,1450,38.21
139.945913,35.426008,24,239.6,5983,200.92
139.938789,35.629362,40,623.2,1136,136.52
140.031071,35.649078,5,470.2,5100,244.98
139.810267,35.541382,4,550.7,2651,108.72
140.011159,35.788223,11,618.5,2890,154.59
139.765678,35.551926,34,600.3,5829,103.76
139.594728,35.657776,9,420.7,3600,5.78
139.765395,35.638975,26,687.7,4078,139.72
140.08064,35.784426,15,305.2,2527,121.6
139.790753,35.481964,18,603.7,1335,182.81
139.651475,35.620887,22,438.6,5924,6.86
139.655814,35.661704,22,269.9,4281,6.86
139.82521,35.63846,26,276.1,808,139.72
139.889926,35.662322,40,529.4,2703,136.52
139.701851,35.742614,21,766.8,3568,16.65
139.53657,35.575896,31,532.8,3688,42.83
139.770787,35.819816,8,635.7,3628,65.05
140.003253,35.860957,36,600.6,3659,174.9
139.844782,35.453155,32,421.4,3839,367.73
139.71201,35.503264,27,614.5,1126,54.56
139.828456,35.643321,26,542.4,1110,139.72
140.035631,35.561911,37,524.8,5466,179.13
139.793994,35.635857,26,620.1,3845,139.72
139.602979,35.693044,9,589.7,5090,5.78
139.825819,35.511975,6,424.8,3787,161.67
140.076881,35.767015,15,547.4,2544,121.6
139.68821,35.475242,39,392.9,5459,61.3
139.992309,35.748777,11,575.7,1158,154.59
139.684233,35.532054,27,448.1,4438,54.56
139.611272,35.613232,13,554.3,1084,10.84
139.529008,35.760667,12,544.2,5312,7.7
139.647404,35.637236,22,467.6,5079,6.86
139.710664,35.569293,28,555.9,1680,43.34
139.595413,35.520296,35,568.9,5043,38.21
139.682459,35.50813,27,472.3,3143,54.56
139.510529,35.521029,31,640.7,2110,42.83
140.097932,35.682452,15,667.1,3795,121.6
139.982636,35.756284,11,420.6,4355,154.59
139.551948,35.454048,38,406.7,3958,92.81
140.02196,35.659538,29,561.6,4298,133.64
139.832752,35.826095,1,390.4,2068,115.05
139.752827,35.757316,3,446.1,5755,54.93
139.540582,35.556991,31,596.4,5638,42.83
139.836863,35.457909,32,431.2,4438,367.73
139.542433,35.687502,14,268.6,2206,7.68
139.626835,35.815686,19,579.7,5861,17.18
139.829772,35.66017,26,307.7,1077,139.72
139.789189,35.747006,3,337.4,3913,54.93
139.595682,35.649952,9,137.8,4213,5.78
139.589747,35.57708,35,599.7,4818,38.21
139.799564,35.882402,8,530.1,4684,65.05
140.064339,35.861131,7,555.5,5176,252.6
139.700539,35.502296,27,601.4,5103,54.56
139.613061,35.877451,19,495,3238,17.18
139.66183,35.836996,19,367.3,1694,17.18
139.818446,35.748672,3,567.7,5911,54.93
139.51287,35.656297,14,656.4,2890,7.68
139.979256,35.640408,29,320,4784,133.64
139.566201,35.5009,38,427.2,1278,92.81
139.823879,35.450115,18,464.9,5456,182.81
139.84274,35.636294,26,345.2,4965,139.72
139.871371,35.55609,6,583.3,4073,161.67
139.928912,35.7862,23,428.1,4107,171.29
139.57398,35.850537,25,650.8,5489,18.55
139.68663,35.567615,28,506.4,5062,43.34
140.067443,35.811972,7,587.4,3394,252.6
139.800015,35.510016,34,687.3,4588,103.76
139.581138,35.783062,12,531.9,4861,7.7
140.021555,35.680354,29,629.2,2213,133.64
139.62303,35.611728,13,525.3,4516,10.84
140.055028,35.819285,7,318.6,3771,252.6
140.032052,35.54366,37,502.7,5436,179.13
139.581777,35.63536,13,586.2,946,10.84
139.97121,35.790422,11,558.7,4331,154.59
139.771982,35.441358,18,479.1,4401,182.81
139.581445,35.597259,13,353.9,3769,10.84
140.031133,35.447831,16,577.6,5135,499.78
139.702028,35.466667,39,390,2333,61.3
139.691564,35.510563,27,349.8,1791,54.56
139.74227,35.53706,34,571.4,1679,103.76
139.787446,35.54953,34,352.1,885,103.76
139.720741,35.587393,30,529.3,1396,16.55
139.779414,35.645726,26,500.3,1132,139.72
139.529935,35.839301,25,340.6,4988,18.55
139.612414,35.774365,2,641.6,1491,6.14
140.089596,35.877593,7,428.9,1269,252.6
139.696964,35.56596,28,644,5442,43.34
139.602598,35.812081,19,443,4616,17.18
139.792953,35.466333,18,431,3407,182.81
139.511212,35.462348,38,496.3,2238,92.81
139.703691,35.764055,21,457,1361,16.65
139.517798,35.67421,14,457.2,5205,7.68
140.020337,35.704259,29,394.7,4496,133.64
139.939025,35.461473,17,354.5,4987,279.81
139.689156,35.838217,19,573.6,875,17.18
139.731872,35.821174,8,403.3,2119,65.05
139.699468,35.423119,39,334.8,2893,61.3
139.553867,35.753509,12,439.1,2524,7.7
139.954233,35.667396,33,403.9,5309,310.73
139.861781,35.872729,1,236.9,1710,115.05
139.58724,35.856015,25,465.1,2705,18.55
139.51951,35.627989,14,520.1,945,7.68
139.790261,35.78276,3,535.4,5501,54.93
139.766742,35.652522,26,547.1,5174,139.72
139.536231,35.501274,38,379.9,5811,92.81
139.696504,35.758569,21,460.9,4003,16.65
140.027057,35.784038,11,379,1431,154.59
140.058363,35.753189,15,423.7,5612,121.6
139.735307,35.495812,20,354.8,1448,63.78
139.595308,35.54895,35,366,3692,38.21
139.691969,35.562566,28,575.6,1737,43.34
139.684179,35.685938,22,467.3,5939,6.86
139.564687,35.841246,25,468.9,4448,18.55
140.087601,35.838552,7,707.5,2124,252.6
139.798142,35.592926,4,493,4950,108.72
139.555845,35.768886,12,435.6,2746,7.7
139.627064,35.79816,19,589.7,5411,17.18
140.0583,35.762081,15,441.5,1510,121.6
139.678108,35.592719,28,664.7,5496,43.34
139.891931,35.549076,6,454.7,5492,161.67
140.040642,35.428736,16,426.1,5267,499.78
140.094477,35.736846,15,359.8,3566,121.6
139.7582,35.498996,20,539.4,5097,63.78
139.736266,35.712554,3,676,5663,54.93
139.585145,35.469091,38,457.3,3737,92.81
139.667884,35.586539,28,531.4,2851,43.34
139.838893,35.557045,4,540,1774,108.72
140.061084,35.807592,7,670.7,5394,252.6
139.71504,35.584159,30,579.7,2016,16.55
140.005204,35.619822,5,371.2,5710,244.98
139.933446,35.619529,40,416.4,4223,136.52
139.950442,35.700914,33,410.5,1630,310.73
140.054393,35.601953,5,517,5760,244.98
139.501427,35.879159,25,499.5,1608,18.55
139.596258,35.885384,25,544.2,5771,18.55
139.739564,35.857264,8,421.1,4192,65.05
139.905192,35.441437,32,454.8,941,367.73
139.788223,35.63843,26,589,2999,139.72
139.820297,35.569568,4,488,1851,108.72
139.69017,35.736718,21,421.5,4024,16.65
139.988855,35.718243,33,616.5,5595,310.73
139.675332,35.829639,19,501.6,3799,17.18
139.745479,35.874142,8,390,1547,65.05
139.554551,35.686984,9,705.2,2698,5.78
139.979158,35.667635,29,359.8,1077,133.64
139.715871,35.870847,8,286.3,1401,65.05
139.524293,35.846178,25,229.6,4574,18.55
139.524652,35.605153,31,578.1,1674,42.83
140.072661,35.425015,16,436.1,5784,499.78
139.724005,35.789135,21,466.9,1114,16.65
139.983852,35.862981,36,534.8,5862,174.9
140.046035,35.588739,5,444,3359,244.98
139.764046,35.52246,34,307,4455,103.76
139.845802,35.443818,32,266,4564,367.73
139.544201,35.595554,31,459.1,4773,42.83
139.598776,35.491281,38,521,5373,92.81
139.943934,35.466812,17,226.7,4504,279.81
139.785427,35.528731,34,534.9,2074,103.76
139.911313,35.676624,33,550.7,3362,310.73
140.070909,35.474035,16,655.4,4740,499.78
139.798479,35.881448,8,519.8,802,65.05
139.7823,35.872261,8,524.6,1236,65.05
139.836115,35.896143,1,572.6,4838,115.05
139.891506,35.753105,23,497.7,2326,171.29
139.667744,35.470389,39,490.4,2609,61.3
140.087945,35.404491,16,513.9,4175,499.78
139.886318,35.743248,23,589.3,5187,171.29
139.849547,35.740609,23,448.2,1159,171.29
139.869523,35.858755,1,440.1,2180,115.05
140.055084,35.604211,5,396.2,4494,244.98
139.734014,35.61122,30,385.1,1066,16.55
139.672752,35.66866,22,539.2,2545,6.86
139.554442,35.606823,13,685.7,5446,10.84
139.69322,35.448822,39,383.7,1986,61.3
139.954962,35.590134,40,477.4,3774,136.52
139.562648,35.499,38,376.4,1793,92.81
139.926167,35.762512,23,609,5999,171.29
140.079886,35.405505,16,461.9,3410,499.78
139.620895,35.859429,19,521.5,5064,17.18
139.565093,35.850114,25,541.8,4113,18.55
139.533241,35.777077,12,373.5,5235,7.7
139.997834,35.875961,36,487.4,4373,174.9
139.848719,35.712794,23,472.6,4843,171.29
139.782055,35.727975,3,581,1563,54.93
139.719008,35.590688,30,352,2220,16.55
139.668075,35.432803,39,356,2154,61.3
139.85983,35.74544,23,591.9,2649,171.29
139.991142,35.463742,24,429.4,2157,200.92
139.558699,35.545659,35,420.8,5248,38.21
140.078214,35.71611,15,513.6,4621,121.6
139.601242,35.595012,13,461.6,5242,10.84
139.55165,35.435213,38,724,4618,92.81
140.016726,35.831786,36,531.1,4544,174.9
139.814874,35.592595,4,519.4,5913,108.72
139.894087,35.73538,23,611.7,1642,171.29
139.637712,35.410598,10,492.8,4784,21.9
139.932736,35.697614,33,505.8,5761,310.73
139.79445,35.538121,34,371.3,2183,103.76
140.079153,35.599563,5,224.8,1246,244.98
140.044165,35.472908,16,355.1,1990,499.78
139.83075,35.812041,1,513.7,2529,115.05
139.545359,35.470205,38,376,5749,92.81
